model_slug,temperature,configurations,mean_completion_rate,min_completion_rate,max_completion_rate,lowest_completion_decoder,lowest_completion_parameter
deepseek-qwen14b-distill,0.7,12,1.0,1.0,1.0,min_p,0.01
deepseek-qwen14b-distill,1.0,12,1.0,1.0,1.0,min_p,0.01
gemma3-12b-base,0.7,12,0.895,0.82,0.96,top_p,0.9
gemma3-12b-base,1.0,12,0.8816666666666667,0.8,0.94,untruncated,1.0
gemma3-12b-it,0.7,12,1.0,1.0,1.0,min_p,0.01
gemma3-12b-it,1.0,12,1.0,1.0,1.0,min_p,0.01
gemma4-e4b-base,0.7,12,0.89,0.8,0.96,min_p,0.01
gemma4-e4b-base,1.0,12,0.88,0.84,0.92,untruncated,1.0
gemma4-e4b-it,0.7,12,1.0,1.0,1.0,min_p,0.01
gemma4-e4b-it,1.0,12,1.0,1.0,1.0,min_p,0.01
llama31-8b-base,0.7,12,0.8683333333333333,0.8,0.92,top_k,80.0
llama31-8b-base,1.0,12,0.895,0.84,0.96,min_p,0.01
llama31-8b-instruct,0.7,12,0.9666666666666667,0.94,1.0,top_k,80.0
llama31-8b-instruct,1.0,12,0.9500000000000001,0.86,1.0,untruncated,1.0
mistral7b-v03-base,0.7,12,0.8933333333333334,0.8,1.0,untruncated,1.0
mistral7b-v03-base,1.0,12,0.8416666666666667,0.78,0.9,top_p,0.99
mistral7b-v03-instruct,0.7,12,1.0,1.0,1.0,min_p,0.01
mistral7b-v03-instruct,1.0,12,1.0,1.0,1.0,min_p,0.01
qwen25-14b-base,0.7,12,0.8716666666666666,0.82,0.94,min_p,0.05
qwen25-14b-base,1.0,12,0.8883333333333333,0.82,0.94,min_p,0.01
qwen25-14b-instruct,0.7,12,0.9983333333333334,0.98,1.0,untruncated,1.0
qwen25-14b-instruct,1.0,12,0.9983333333333334,0.98,1.0,top_p,0.8
qwen35-9b-base,0.7,12,0.9966666666666667,0.98,1.0,min_p,0.01
qwen35-9b-base,1.0,12,0.985,0.96,1.0,top_p,0.8
qwen35-9b-instruct,0.7,12,1.0,1.0,1.0,min_p,0.01
qwen35-9b-instruct,1.0,12,1.0,1.0,1.0,min_p,0.01
