model,temperature,metric,configurations,spearman_rho,spearman_p_raw,spearman_p_holm,spearman_significant_holm_05,pearson_r,pearson_p_raw,pearson_p_holm,pearson_significant_holm_05,family_definition
Qwen/Qwen2.5-14B,0.7,mean_mtld,11,0.8127938616594571,0.0033996600339966003,0.0917908209179082,False,0.8724523346263631,0.0004999500049995,0.016998300169983,True,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B,0.7,mean_ttr,11,0.9634803641019407,0.00019998000199980003,0.008599140085991401,True,0.9058670791998233,0.00019998000199980003,0.007999200079992,True,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B,1.0,mean_mtld,11,0.9066082746806283,0.00019998000199980003,0.008599140085991401,True,0.9282393170052359,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B,1.0,mean_ttr,11,0.965833940865795,9.999000099990002e-05,0.005199480051994801,True,0.9732214132087502,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B-Instruct,0.7,mean_mtld,11,0.44191458615085905,0.16328367163283672,1.0,False,0.48977525748267836,0.11858814118588142,1.0,False,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B-Instruct,0.7,mean_ttr,11,0.26423758759535904,0.4223577642235776,1.0,False,0.2854535324178741,0.39836016398360163,1.0,False,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B-Instruct,1.0,mean_mtld,11,0.5512542775696283,0.0826917308269173,1.0,False,0.6462981726184734,0.0313968603139686,0.5965403459654034,False,52 model×temperature×metric primary tests
Qwen/Qwen2.5-14B-Instruct,1.0,mean_ttr,11,0.610479943754795,0.051594840515948405,0.9287071292870713,False,0.6948399070751138,0.018098190180981903,0.39816018398160186,False,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B,0.7,mean_mtld,11,0.018349396085439344,0.9689031096890312,1.0,False,0.2408387588641867,0.48085191480851913,1.0,False,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B,0.7,mean_ttr,11,0.17931460919717973,0.5874412558744125,1.0,False,0.4064590625186743,0.21537846215378462,1.0,False,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B,1.0,mean_mtld,11,0.19771421064483224,0.5601439856014399,1.0,False,0.1771347986841436,0.6098390160983902,1.0,False,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B,1.0,mean_ttr,11,0.14977594678704673,0.6572342765723428,1.0,False,0.20436788149488744,0.551044895510449,1.0,False,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B-Base,0.7,mean_mtld,11,0.792712762786077,0.007399260073992601,0.1775822417758224,False,0.8127553182533149,0.0029997000299970002,0.077992200779922,False,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B-Base,0.7,mean_ttr,11,0.8974966337290643,0.00039996000399960006,0.015198480151984802,True,0.8692842457811025,0.00019998000199980003,0.007999200079992,True,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B-Base,1.0,mean_mtld,11,0.9636363636363636,9.999000099990002e-05,0.005199480051994801,True,0.9512916726143915,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
Qwen/Qwen3.5-9B-Base,1.0,mean_ttr,11,0.990909090909091,9.999000099990002e-05,0.005199480051994801,True,0.9316601621620072,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,mean_mtld,11,0.5148077137633719,0.10978902109789021,1.0,False,0.5630718828726469,0.06919308069193081,1.0,False,52 model×temperature×metric primary tests
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,mean_ttr,11,-0.2779050490227052,0.41235876412358763,1.0,False,0.17979956093931815,0.5986401359864013,1.0,False,52 model×temperature×metric primary tests
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,mean_mtld,11,0.9339431975353206,9.999000099990002e-05,0.005199480051994801,True,0.8524884493281819,0.00019998000199980003,0.007999200079992,True,52 model×temperature×metric primary tests
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,mean_ttr,11,0.6651497894641796,0.027097290270972903,0.5522447755224478,False,0.8034439296923428,0.0032996700329967,0.0824917508249175,False,52 model×temperature×metric primary tests
google/gemma-3-12b-it,0.7,mean_mtld,11,0.46439849477041995,0.1501849815018498,1.0,False,0.567285529292402,0.06869313068693131,1.0,False,52 model×temperature×metric primary tests
google/gemma-3-12b-it,0.7,mean_ttr,11,0.156332166556379,0.6414358564143585,1.0,False,0.3233814348343079,0.32726727327267274,1.0,False,52 model×temperature×metric primary tests
google/gemma-3-12b-it,1.0,mean_mtld,11,0.8721552111064961,0.0007999200079992001,0.025597440255974404,True,0.7810945336024878,0.0046995300469953,0.11278872112788721,False,52 model×temperature×metric primary tests
google/gemma-3-12b-it,1.0,mean_ttr,11,0.771697542811507,0.0065993400659934,0.164983501649835,False,0.7699612552356309,0.0052994700529947,0.12188781121887811,False,52 model×temperature×metric primary tests
google/gemma-3-12b-pt,0.7,mean_mtld,11,0.9061998436779978,0.00019998000199980003,0.008599140085991401,True,0.9265897232693654,0.00019998000199980003,0.007999200079992,True,52 model×temperature×metric primary tests
google/gemma-3-12b-pt,0.7,mean_ttr,11,0.9565442794378866,9.999000099990002e-05,0.005199480051994801,True,0.9326787781221898,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
google/gemma-3-12b-pt,1.0,mean_mtld,11,0.9174698042719671,0.00039996000399960006,0.015198480151984802,True,0.9032296981006837,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
google/gemma-3-12b-pt,1.0,mean_ttr,11,0.9174698042719671,0.00039996000399960006,0.015198480151984802,True,0.9287783507273399,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
google/gemma-4-E4B,0.7,mean_mtld,11,0.9178177876042184,0.00039996000399960006,0.015198480151984802,True,0.8881943915334128,0.0006999300069993001,0.022397760223977603,True,52 model×temperature×metric primary tests
google/gemma-4-E4B,0.7,mean_ttr,11,0.8584564381571794,0.0015998400159984002,0.044795520447955206,True,0.9019546964251972,0.00039996000399960006,0.013998600139986002,True,52 model×temperature×metric primary tests
google/gemma-4-E4B,1.0,mean_mtld,11,0.961278120390013,9.999000099990002e-05,0.005199480051994801,True,0.9716476138137025,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
google/gemma-4-E4B,1.0,mean_ttr,11,0.961278120390013,9.999000099990002e-05,0.005199480051994801,True,0.9733375713104897,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
google/gemma-4-E4B-it,0.7,mean_mtld,11,-0.11113016798649542,0.7502249775022498,1.0,False,0.03963031210730808,0.9048095190480951,1.0,False,52 model×temperature×metric primary tests
google/gemma-4-E4B-it,0.7,mean_ttr,11,0.5888107617966465,0.060193980601939805,1.0,False,0.43714324085211015,0.15348465153484653,1.0,False,52 model×temperature×metric primary tests
google/gemma-4-E4B-it,1.0,mean_mtld,11,0.7443873683187767,0.0117988201179882,0.2713728627137286,False,0.8265716548042786,0.0020997900209979003,0.056694330566943306,False,52 model×temperature×metric primary tests
google/gemma-4-E4B-it,1.0,mean_ttr,11,0.8467406314626085,0.0012998700129987,0.0376962303769623,True,0.8418165371230169,0.0010998900109989002,0.034096590340965904,True,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B,0.7,mean_mtld,11,0.8812877264060406,0.0007999200079992001,0.025597440255974404,True,0.8565365674785225,0.0011998800119988001,0.035996400359964,True,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B,0.7,mean_ttr,11,0.9269503029037629,0.00019998000199980003,0.008599140085991401,True,0.9050249440285588,0.00019998000199980003,0.007999200079992,True,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B,1.0,mean_mtld,11,0.8727272727272727,0.0010998900109989002,0.03299670032996701,True,0.8478694389450365,0.0004999500049995,0.016998300169983,True,52 model×temperature×metric primary tests
