temperature,model,decoder,parameter,wcs,covered_words,total_words,audit_path
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,1.0,0.002,2,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,2.0,0.006,6,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,3.0,0.008,8,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,4.0,0.011,11,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,5.0,0.014,14,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,6.0,0.018,18,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,7.0,0.018,18,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,8.0,0.019,19,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,9.0,0.02,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,10.0,0.02,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,11.0,0.02,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,12.0,0.02,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,13.0,0.021,21,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,14.0,0.022,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,15.0,0.022,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,16.0,0.022,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,17.0,0.024,24,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,18.0,0.028,28,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,19.0,0.029,29,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,20.0,0.03,30,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.5,0.002,2,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.55,0.003,3,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.6,0.006,6,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.65,0.008,8,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.7,0.013,13,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.75,0.025,25,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.8,0.036,36,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.85,0.048,48,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.9,0.083,83,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.95,0.189,189,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.99,0.527,527,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.01,0.031,31,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.02,0.022,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.03,0.017,17,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.04,0.016,16,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.05,0.015,15,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.06,0.015,15,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.07,0.012,12,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.08,0.011,11,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.09,0.009,9,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.1,0.009,9,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
