temperature,model,decoder,parameter,wcs,covered_words,total_words,audit_path
0.7,google/gemma-3-27b-it,top_k,1.0,0.046,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,2.0,0.071,71,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,3.0,0.09,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,4.0,0.106,106,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,5.0,0.114,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,6.0,0.127,127,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,7.0,0.135,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,8.0,0.146,146,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,9.0,0.16,160,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,10.0,0.167,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,11.0,0.17,170,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,12.0,0.176,176,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,13.0,0.182,182,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,14.0,0.188,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,15.0,0.193,193,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
