temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,1.0,0.02,0.0,2,0,100,2,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,2.0,0.06,0.0,6,0,100,6,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,3.0,0.08,0.0,8,0,100,8,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,4.0,0.1,0.0,10,0,100,11,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,5.0,0.13,0.0,13,0,100,14,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,6.0,0.15,0.0,15,0,100,18,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,7.0,0.15,0.0,15,0,100,18,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,8.0,0.16,0.0,16,0,100,19,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,9.0,0.16,0.0,16,0,100,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,10.0,0.16,0.0,16,0,100,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,11.0,0.16,0.0,16,0,100,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,12.0,0.16,0.0,16,0,100,20,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,13.0,0.17,0.0,17,0,100,21,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,14.0,0.18,0.0,18,0,100,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,15.0,0.18,0.0,18,0,100,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,16.0,0.18,0.0,18,0,100,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,17.0,0.19,0.0,19,0,100,24,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,18.0,0.21,0.0,21,0,100,28,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,19.0,0.21,0.0,21,0,100,29,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_k,20.0,0.21,0.0,21,0,100,30,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.5,0.02,0.0,2,0,100,2,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.55,0.03,0.0,3,0,100,3,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.6,0.05,0.0,5,0,100,6,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.65,0.07,0.0,7,0,100,8,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.7,0.12,0.0,12,0,100,13,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.75,0.2,0.0,20,0,100,25,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.8,0.24,0.0,24,0,100,36,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.85,0.3,0.0,30,0,100,48,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.9,0.42,0.0,42,0,100,83,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.95,0.73,0.0,73,0,100,189,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,top_p,0.99,0.99,0.03,99,3,100,527,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.01,0.23,0.0,23,0,100,31,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.02,0.19,0.0,19,0,100,22,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.03,0.16,0.0,16,0,100,17,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.04,0.15,0.0,15,0,100,16,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.05,0.14,0.0,14,0,100,15,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.06,0.14,0.0,14,0,100,15,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.07,0.12,0.0,12,0,100,12,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.08,0.11,0.0,11,0,100,11,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.09,0.09,0.0,9,0,100,9,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
1.0,nvidia/Nemotron-Labs-Diffusion-14B,min_p,0.1,0.09,0.0,9,0,100,9,1000,results/audit.nemotron-labs-diffusion-14b.jsonl
