temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-27b-pt,top_k,1.0,0.26,0.0,26,0,100,32,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,2.0,0.39,0.0,39,0,100,54,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,3.0,0.48,0.0,48,0,100,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,4.0,0.52,0.0,52,0,100,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,5.0,0.58,0.0,58,0,100,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,6.0,0.61,0.0,61,0,100,126,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,7.0,0.63,0.0,63,0,100,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,8.0,0.63,0.0,63,0,100,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,9.0,0.7,0.0,70,0,100,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,10.0,0.73,0.0,73,0,100,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,11.0,0.75,0.0,75,0,100,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,12.0,0.77,0.0,77,0,100,194,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,13.0,0.77,0.0,77,0,100,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,14.0,0.78,0.0,78,0,100,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
