temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-27b-it,top_k,1.0,0.32,0.0,32,0,100,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,2.0,0.45,0.0,45,0,100,71,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,3.0,0.5,0.0,50,0,100,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,4.0,0.53,0.0,53,0,100,106,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,5.0,0.58,0.0,58,0,100,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,6.0,0.62,0.0,62,0,100,127,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,7.0,0.64,0.0,64,0,100,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,8.0,0.64,0.0,64,0,100,146,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,9.0,0.67,0.0,67,0,100,160,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,10.0,0.69,0.0,69,0,100,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,11.0,0.7,0.0,70,0,100,170,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,top_k,12.0,0.7,0.0,70,0,100,176,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
